CA12832,1252,"$959-$1,391",5/29/2017,"Type: Sunrise - 2 Bedrooms, 1.50 Bathrooms"
ML12885,1451,"$1,340-$1,926",Available,"Type: Venice - 2 Bedrooms, 1.50 Bathrooms"
RC1018,1348,"$1,415-$2,356",6/14/2017,"Type: Palermo - 3 Bedrooms, 2.50 Bathrooms"
RC1025,1351,"$1,304-$1,868",Available,"Type: Torino - 2 Bedrooms, 1.50 Bathrooms"
RC1036,1351,"$1,289-$1,853",7/14/2017,"Type: Torino - 2 Bedrooms, 1.50 Bathrooms"
RC1060,1763,"$1,715-$2,846",5/1/2017,"Type: Parma - 3 Bedrooms, 2 Bathrooms"
RC1068,1348,"$1,445-$2,427",Available,"Type: Palermo - 3 Bedrooms, 2.50 Bathrooms"
RC1085,1413,"$1,450-$2,434",Available,"Type: Rialto - 3 Bedrooms, 1.50 Bathrooms"
RC1088,1451,"$1,344-$1,949",5/14/2017,"Type: Venice - 2 Bedrooms, 1.50 Bathrooms"
RC1092,1348,"$1,309-$1,900",5/29/2017,"Type: Pisa - 2 Bedrooms, 2.50 Bathrooms"
RV1070,1451,"$1,379-$1,926",5/25/2017,"Type: Venice - 2 Bedrooms, 1.50 Bathrooms"
RV1074,1451,"$1,324-$1,926",5/15/2017,"Type: Venice - 2 Bedrooms, 1.50 Bathrooms"
RV10821351Call5/29,/201,,21351Call5/29/2017,"Type: Torino - 2 Bedrooms, 1.50 Bathrooms"
TF1122,1252,"$931-$1,359",Available,"Type: Sunrise - 2 Bedrooms, 1.50 Bathrooms"
TF12809,1252,"$944-$1,374",5/14/2017,"Type: Sunrise - 2 Bedrooms, 1.50 Bathrooms"
